ID,SAMPLE_NAME,xyY.x,xyY.y,xyY.Y,RGB.R,RGB.G,RGB.B,OutOfGamut
N0,N0,0.3101000,0.3163000,0.0000000,0.00000,0.00000,0.00000,FALSE
N0.5,N0.5,0.3101000,0.3163000,0.5673029,17.15544,17.15544,17.15544,FALSE
N1,N1,0.3101000,0.3163000,1.1799254,28.28068,28.28068,28.28068,FALSE
N1.5,N1.5,0.3101000,0.3163000,1.9707595,38.36197,38.36197,38.36197,FALSE
N2,N2,0.3101000,0.3163000,3.0481165,48.80096,48.80096,48.80096,FALSE
N2.5,N2.5,0.3101000,0.3163000,4.4987998,59.86453,59.86453,59.86453,FALSE
N3,N3,0.3101000,0.3163000,6.3911778,71.50491,71.50491,71.50491,FALSE
N3.5,N3.5,0.3101000,0.3163000,8.7782562,83.59664,83.59664,83.59664,FALSE
N4,N4,0.3101000,0.3163000,11.7007514,96.01444,96.01444,96.01444,FALSE
N4.5,N4.5,0.3101000,0.3163000,15.1901623,108.65591,108.65591,108.65591,FALSE
N5,N5,0.3101000,0.3163000,19.2718437,121.44527,121.44527,121.44527,FALSE
N5.5,N5.5,0.3101000,0.3163000,23.9680791,134.33147,134.33147,134.33147,FALSE
N6,N6,0.3101000,0.3163000,29.3011526,147.28499,147.28499,147.28499,FALSE
N6.5,N6.5,0.3101000,0.3163000,35.2964226,160.29495,160.29495,160.29495,FALSE
N7,N7,0.3101000,0.3163000,41.9853937,173.36665,173.36665,173.36665,FALSE
N7.5,N7.5,0.3101000,0.3163000,49.4087900,186.51964,186.51964,186.51964,FALSE
N8,N8,0.3101000,0.3163000,57.6196275,199.78614,199.78614,199.78614,FALSE
N8.5,N8.5,0.3101000,0.3163000,66.6862869,213.20964,213.20964,213.20964,FALSE
N9,N9,0.3101000,0.3163000,76.6955861,226.84366,226.84366,226.84366,FALSE
N9.5,N9.5,0.3101000,0.3163000,87.7558535,240.75051,240.75051,240.75051,FALSE
N10,N10,0.3101000,0.3163000,100.0000000,255.00000,255.00000,255.00000,FALSE
